id|country|year|farm_share|indicator|population|urbanization|electricity|gdp_pc_ppp|gross_production_value|agriculture_land_total|ag_employment
1|Argentina|1960|||20481779|73.611|||||
1|Argentina|1961|||20817266|74.217|||9071.714918|137829|
1|Argentina|1962|||21153052|74.767|||9511.307800000001|136434|
1|Argentina|1963|||21488912|75.309|||10378.776913|134875|
1|Argentina|1964|||21824425|75.84399999999999|||9743.027888000001|133297|
1|Argentina|1965|||22159650|76.369|||9257.869645999999|131780|
1|Argentina|1966|||22494035|76.88800000000001|||10236.864748|130948|
1|Argentina|1967|||22828869|77.398|||11426.13027|129703|
1|Argentina|1968|||23168267|77.901|||10587.166879|129235|
1|Argentina|1969|||23517611|78.39400000000001|||11248.408786|129302|
1|Argentina|1970|||23880561|78.88|||11045.957087|129280|
1|Argentina|1971|||24259561|79.321|||10577.690595|129154|
1|Argentina|1972|||24653175|79.743|||10503.747814|129028|
1|Argentina|1973|||25056478|80.158|||10754.141787|128902|
1|Argentina|1974|||25462302|80.56699999999999|||11645.507063|128776|
1|Argentina|1975|||25865776|80.96899999999999|||11799.367073|128650|
1|Argentina|1976|||26264681|81.366|||13028.879199|128524|
1|Argentina|1977|||26661398|81.755|||12823.604467|128398|
1|Argentina|1978|||27061047|82.139|||13565.484424|128272|
1|Argentina|1979|||27471036|82.51600000000001|||13991.551357|128146|
1|Argentina|1980|||27896528|82.887|||12860.046949|128020|
1|Argentina|1981|||28338515|83.313|||13642.476221|127894|
1|Argentina|1982|||28794548|83.759|||14153.142718|128769|1886929.375
1|Argentina|1983|||29262047|84.194|||13771.89393|128644|959169
1|Argentina|1984|||29737093|84.621|||14099.672856|128517|959169
1|Argentina|1985|||30216279|85.038|||14131.973747|128391|
1|Argentina|1986|||30698964|85.44499999999999|||14479.366961|128265|
1|Argentina|1987|||31184415|85.843|||14192.889297|127939|
1|Argentina|1988|||31668949|86.233|||14407.716809|127380|
1|Argentina|1989|||32148134|86.613|||13333.033569|127470|
1|Argentina|1990|||32618651|86.984||11372.82310764229|14630.044227|127565|654747.625
1|Argentina|1991|||33079000|87.328||12238.7888472347|15090.463119|127660|682129.4375
1|Argentina|1992|||33529326|87.542||13032.79328646202|15095.721955|127755|563072.1875
1|Argentina|1993|||33970111|87.752||13919.40389977529|15077.463409|127850|497589.78125
1|Argentina|1994|||34402672|87.95999999999999||14546.53878672582|16110.162132|127948|561517.9375
1|Argentina|1995|||34828170|88.164||13959.99965705584|17163.193479|128045|456218.21875
1|Argentina|1996|||35246374|88.366||14556.7335748029|16393.79142|128142|209379.65625
1|Argentina|1997|||35657429|88.56399999999999||15556.01756456692|17743.306995|128235|189988.875
1|Argentina|1998|||36063459|88.759||15973.06725858511|19086.624632|128330|203296.96875
1|Argentina|1999|||36467218|88.952||15261.44199228446|19628.886711|128412|211675.9375
1|Argentina|2000|||36870787|89.142||14975.30332160003|19756.468999|128510|234429.21875
1|Argentina|2001|||37275652|89.32899999999999|95.51106346744579|14159.58484049008|20220.001523|128606|191606.046875
1|Argentina|2002|||37681749|89.51000000000001|96.10918426513671|12480.99765672844|20053.238051|128710|163225.0625
1|Argentina|2003|||38087868|89.68600000000001|96.3805694580078|13439.1071255147|20972.725894|130883.5|109729.375
1|Argentina|2004|||38491972|89.86|96.62782287597661|14498.77233165135|21293.485395|134345|97090.921875
1|Argentina|2005|.0800552053890648|foodservice_accommodation|38892931|90.03100000000001|96.8490905761719|15619.45134400005|24139.692434|137797.5|130475.1953125
1|Argentina|2006|.083916924369772|foodservice_accommodation|39289878|90.2|97.05487060546881|16705.86968300376|23988.761121|141104|152255.59375
1|Argentina|2007|.076994771583154|foodservice_accommodation|39684295|90.366|97.25872039794921|18029.68257982919|26448.572341|144033|
1|Argentina|2008|.0702999766146669|foodservice_accommodation|40080160|90.53|97.47422027587891|18575.88772292213|26611.638587|144261|137804.921875
1|Argentina|2009|.0867883799703393|foodservice_accommodation|40482788|90.691|97.7149276733398|17302.6541492773|21921.83327|143792|97809.203125
1|Argentina|2010|.0842426398033482|foodservice_accommodation|40788453|90.849|98.81999999999999|18911.82318832765|26018.27993|147481|130336.125
1|Argentina|2011|.0821601943834963|foodservice_accommodation|41261490|90.99|99.3411865234375|19817.45047654786|27292.953274|148281|249011.59375
1|Argentina|2012|.0879443538158848|foodservice_accommodation|41733271|91.121|99.6030960083008|19392.30979312408|24973.110171|149254|223244.515625
1|Argentina|2013|.0896587006135901|foodservice_accommodation|42202935|91.249|99.5784072875977|19637.75538333762|27358.444857|149199|245276.921875
1|Argentina|2014|.0932635050534569|foodservice_accommodation|42669500|91.377|100|18935.00249662084|28617.936871|148700|282705.0625
1|Argentina|2015|.1000096432835508|foodservice_accommodation|43131966|91.503|99.8235778808594|19243.57946862363|30410.922135|148700|
1|Argentina|2016|||43590368|91.627|99.9668807983398|18645.09185084572|30279.279636|148700|
1|Argentina|2017|||44044811|91.749|100|18945.14402198223|||
1|Argentina|2018|||44494502|91.87000000000001||18282.09392767442|||
2|Australia|1960|||10276477|81.529|||||
2|Australia|1961|||10483000|81.941|||8136.059831|461585|
2|Australia|1962|||10742000|82.22799999999999|||9182.712997000001|463688|
2|Australia|1963|||10950000|82.511|||9627.737053999999|466471|
2|Australia|1964|||11167000|82.792|||10189.241|469009|
2|Australia|1965|||11388000|83.068|||9835.976553|472976|
2|Australia|1966|||11651000|83.34|||10840.303254|474154|
2|Australia|1967|||11799000|83.50700000000001|||9883.323895|476728|
2|Australia|1968|||12009000|83.672|||11383.382979|474821|
2|Australia|1969|||12263000|83.836|||10871.888426|478943|
2|Australia|1970|||12507000|83.999|||11342.20969|481787|19073.712890625
2|Australia|1971|||12937000|84.16|||11946.617648|483253|22228.8515625
2|Australia|1972|||13177000|84.31999999999999|||12106.164813|484457|18232.91015625
2|Australia|1973|||13380000|84.47799999999999|||13076.01334|487017|19946.09765625
2|Australia|1974|||13723000|84.636|||11932.96311|487727|23188.255859375
2|Australia|1975|||13893000|84.792|||12901.064406|486837|25546.953125
2|Australia|1976|||14033000|84.947|||13578.3444|487773|27116.37109375
2|Australia|1977|||14192000|85.09999999999999|||13449.654064|478611|25244.2421875
2|Australia|1978|||14358000|85.252|||15530.294825|476530|32774.1796875
2|Australia|1979|||14514000|85.40300000000001|||14977.106959|480477|27014.130859375
2|Australia|1980|||14692000|85.55200000000001|||13206.392852|482926|23218.955078125
